host_description,Expected_Personal_Charisma,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,Expected_Friendly_Attitudes,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,Expected_Service_Assistance,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,Expected_Socialisation_Sharing,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1
"We are originally from Japan :-) and now live in New York for a long time :) We are very happy to have you over to stay at our place for comfortable stay. We always listen to your need and do our best to respond to you as soon as possible.
","""originally from Japan"", ""live in New York for a long time""","""We are originally from Japan"", ""We always listen to your need and do our best to respond to you as soon as possible""",0.16,0.27,0.20,"""We are originally from Japan :-) and now live in New York for a long time :)"", ""We always listen to your need and do our best to respond to you as soon as possible""",0.33,0.91,0.49,"""We are originally from Japan"", ""very happy to have you over to stay at our place for comfortable stay""",0.24,0.36,0.29,"""very happy to have you over to stay at our place""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""always listen to your need"", ""do our best to respond to you as soon as possible""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
I believe life has a beautiful meaning and is a gift. I appreciate every moment and believe that how we choose to live our lives is our gift back.,"""believe life has a beautiful meaning and is a gift"", ""appreciate every moment"", ""believe that how we choose to live our lives is our gift back""","""I believe life has a beautiful meaning and is a gift"", ""I appreciate every moment""",0.85,0.50,0.63,"""I believe life has a beautiful meaning and is a gift"", ""I appreciate every moment and believe that how we choose to live our lives is our gift back""",0.91,0.95,0.93,"""I believe life has a beautiful meaning and is a gift"", ""appreciate every moment""",0.85,0.50,0.63,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
We are a family that loves to travel around the world. ,"""loves to travel around the world""","""We are a family that loves to travel around the world""",0.55,1.00,0.71,None detected,0.00,0.00,0.00,"""We are a family that loves to travel around the world""",0.55,1.00,0.71,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""We are a family that loves to travel around the world""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Hi there! I'm a product designer residing in vibrant NYC. When I'm not immersed in my creative work, I love exploring nature through hiking adventures. The energy of live music truly captivates me, and attending concerts and festivals is one of my passions. As an Airbnb host, I strive to create a welcoming and comfortable experience for my guests. I look forward to sharing insider tips about the city.","""product designer residing in vibrant NYC"", ""love exploring nature through hiking adventures"", ""attending concerts and festivals is one of my passions""","""Hi there! I'm a product designer residing in vibrant NYC"", ""I strive to create a welcoming and comfortable experience for my guests""",0.38,0.38,0.38,"""I'm a product designer residing in vibrant NYC"", ""I strive to create a welcoming and comfortable experience for my guests""",0.42,0.38,0.40,"""I'm a product designer residing in vibrant NYC"", ""love exploring nature through hiking adventures""",0.79,0.52,0.63,"""create a welcoming and comfortable experience""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""strive to create a welcoming and comfortable experience for my guests""",0.00,0.00,0.00,"""sharing insider tips about the city""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"New Yorker by chance, lover of Istanbul, and a Portuguese implant by choice. Fell in love with amazing Portugal and worked hard to make it a second home. Now ready to share it with all its beauty with friends, family and guests. #notallwhowanderarelost","""New Yorker by chance"", ""lover of Istanbul"", ""Portuguese implant by choice"", ""worked hard to make it a second home""","""New Yorker by chance, lover of Istanbul, and a Portuguese implant by choice""",0.83,0.56,0.67,"""New Yorker by chance, lover of Istanbul, and a Portuguese implant by choice"", ""Now ready to share it with all its beauty with friends, family and guests""",0.54,0.72,0.62,"""New Yorker by chance, lover of Istanbul, and a Portuguese implant by choice""",0.83,0.56,0.67,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""ready to share it with all its beauty with friends, family and guests""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""ready to share it with all its beauty with friends, family and guests""",1.00,1.00,1.00
Business owner and enjoy traveling for leisure and business worldwide.  ,"""Business owner"", ""enjoy traveling for leisure and business worldwide""","""Business owner and enjoy traveling for leisure and business worldwide""",0.88,0.88,0.88,"""Business owner and enjoy traveling for leisure and business worldwide""",0.88,0.88,0.88,"""Business owner and enjoy traveling for leisure and business worldwide""",0.88,0.88,0.88,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
I am an avid runner. I am also an ex rugby player and follow the sport closely and son competes in College. I love to spend private uncomplicated time with my wife and two college age children. I am a workaholic that forgets to take vacation. We are empty nesters that would be happy to have more company  around our house.,"""avid runner"", ""ex rugby player"", ""follow the sport closely"", ""workaholic"", ""love to spend private uncomplicated time with my wife and children""","""I am an avid runner"", ""I love to spend private uncomplicated time with my wife and two college age children""",0.68,0.62,0.65,"""I am an avid runner"", ""I love to spend private uncomplicated time with my wife and two college age children""",0.68,0.62,0.65,"""I am an avid runner"", ""love to spend private uncomplicated time with my wife and two college age children""",0.68,0.62,0.65,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""happy to have more company around our house""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
My husband Vladimir and I are both retired. We are respectful and quiet guests. We also host part of our property on Airbnb.,"""retired""","""My husband Vladimir and I are both retired"", ""We are respectful and quiet guests""",0.00,0.00,0.00,"""My husband Vladimir and I are both retired"", ""We are respectful and quiet guests""",0.00,0.00,0.00,"""My husband Vladimir and I are both retired"", ""respectful and quiet guests""",0.00,0.00,0.00,"""respectful and quiet guests""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""host part of our property on Airbnb""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Easy going, Clean & Friendly.","""Easy going""","""Easy going, Clean & Friendly""",0.20,0.50,0.29,None detected,0.00,0.00,0.00,"""Easy going, Clean & Friendly""",0.20,0.50,0.29,"""Friendly""",None detected,0.00,0.00,0.00,"""Easy going, Clean & Friendly""",0.20,1.00,0.33,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Hi, I am a software developer. When I have time I like to do renovations. So, this apartment was recently renovated and ready for you, our dear guests! Welcome to NYC! We hope you will enjoy staying with us!","""software developer"", ""like to do renovations""","""I was formerly a philosophy and political science student"", ""I currently manage a warehouse in Long Island City""",0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""I am a software developer"", ""like to do renovations""",0.67,1.00,0.80,"""Welcome to NYC!"", ""hope you will enjoy staying with us!""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""apartment was recently renovated and ready for you, our dear guests""",None detected,0.00,0.00,0.00,"""We hope you will enjoy staying with us!""",0.00,0.00,0.00,"""hope you will enjoy staying with us""",0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"NYC-based Photographer with an appreciation for visual design. Enjoys great food, soccer, and travel.","""NYC-based Photographer"", ""appreciation for visual design"", ""enjoys great food, soccer, and travel""","""NYC-based Photographer with an appreciation for visual design""",0.50,0.33,0.40,"""NYC-based Photographer with an appreciation for visual design"", ""Enjoys great food, soccer, and travel""",0.79,0.92,0.85,"""NYC-based Photographer with an appreciation for visual design"", ""enjoys great food, soccer, and travel""",0.79,0.92,0.85,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"My name is Dee.  I personally keep my airbnb meticulously clean.  I am currently setting up the apartment for each individual stay in accordance with new Covid-19 cleaning precautions.   I leave a minimum 72 hours after a guest checks out before I enter to clean and sanitize with a full stock of microban disinfectant products. All towels, linens and blankets are washed and sanitized between guests whether they were used or not. (I have several sets to make that possible).

I love buying snacks and supplies for each guest to make your stay comfortable and carefree!  I pride myself on my 5 star reviews!!  Everyone says they never met an airbnb host like me that worries so much about the details.  I hope you book soon to find out for yourself!","""pride myself on my 5 star reviews"", ""never met an airbnb host like me that worries so much about the details""","""I personally keep my airbnb meticulously clean"", ""I love buying snacks and supplies for each guest to make your stay comfortable and carefree""",0.10,0.10,0.10,None detected,0.00,0.00,0.00,"""I personally keep my Airbnb meticulously clean"", ""love buying snacks and supplies for each guest to make your stay comfortable and carefree""",0.10,0.10,0.10,"""love buying snacks and supplies for each guest"", ""hope you book soon to find out for yourself""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""keep my airbnb meticulously clean"", ""Covid-19 cleaning precautions"", ""clean and sanitize"", ""washed and sanitized between guests"", ""snacks and supplies"", ""make your stay comfortable and carefree""",None detected,0.00,0.00,0.00,"""I pride myself on my 5 star reviews"", ""Everyone says they never met an airbnb host like me that worries so much about the details""",0.08,0.09,0.09,"""pride myself on my 5 star reviews"", ""worry so much about the details""",0.08,0.05,0.06,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
